trip_id,stop_id,route_id,day,stop_sequence_norm,hour,is_rush_hour,is_weekend,day_of_week,route_type,n_stops_on_trip,prior_stop_delay,temp_deviation,route_frequency,delay_minutes
T001,S001,R001,2024-01-01,0.0,5,0,0,0,3,6,0.0,0.75,2.0,0.89
T001,S002,R001,2024-01-01,0.2,5,0,0,0,3,6,0.89,0.75,2.0,2.05
T001,S003,R001,2024-01-01,0.4,5,0,0,0,3,6,2.05,0.75,2.0,1.5
T001,S010,R001,2024-01-01,0.6,5,0,0,0,3,6,1.5,0.75,2.0,2.49
T001,S011,R001,2024-01-01,0.8,5,0,0,0,3,6,2.49,0.75,2.0,2.32
T001,S012,R001,2024-01-01,1.0,5,0,0,0,3,6,2.32,0.75,2.0,3.29
T001,S001,R001,2024-01-01,0.0,7,1,0,0,3,6,0.0,0.75,2.0,3.26
T001,S002,R001,2024-01-01,0.2,7,1,0,0,3,6,3.26,0.75,2.0,3.69
T001,S003,R001,2024-01-01,0.4,7,1,0,0,3,6,3.69,0.75,2.0,4.92
T001,S010,R001,2024-01-01,0.6,7,1,0,0,3,6,4.92,0.75,2.0,3.8
T001,S011,R001,2024-01-01,0.8,7,1,0,0,3,6,3.8,0.75,2.0,4.01
T001,S012,R001,2024-01-01,1.0,7,1,0,0,3,6,4.01,0.75,2.0,7.95
T001,S001,R001,2024-01-01,0.0,11,0,0,0,3,6,0.0,0.75,2.0,2.17
T001,S002,R001,2024-01-01,0.2,11,0,0,0,3,6,2.17,0.75,2.0,0.48
T001,S003,R001,2024-01-01,0.4,11,0,0,0,3,6,0.48,0.75,2.0,0.15
T001,S010,R001,2024-01-01,0.6,11,0,0,0,3,6,0.15,0.75,2.0,2.26
T001,S011,R001,2024-01-01,0.8,11,0,0,0,3,6,2.26,0.75,2.0,2.16
T001,S012,R001,2024-01-01,1.0,11,0,0,0,3,6,2.16,0.75,2.0,2.72
T002,S012,R001,2024-01-01,0.0,22,0,0,0,3,6,0.0,0.75,2.0,0.09
T002,S011,R001,2024-01-01,0.2,22,0,0,0,3,6,0.09,0.75,2.0,0.12
T002,S010,R001,2024-01-01,0.4,22,0,0,0,3,6,0.12,0.75,2.0,2.23
T002,S003,R001,2024-01-01,0.6,22,0,0,0,3,6,2.23,0.75,2.0,2.84
T002,S002,R001,2024-01-01,0.8,22,0,0,0,3,6,2.84,0.75,2.0,3.96
T002,S001,R001,2024-01-01,1.0,22,0,0,0,3,6,3.96,0.75,2.0,3.98
T002,S012,R001,2024-01-01,0.0,12,0,0,0,3,6,0.0,0.75,2.0,0.0
T002,S011,R001,2024-01-01,0.2,12,0,0,0,3,6,0.0,0.75,2.0,0.0
T002,S010,R001,2024-01-01,0.4,12,0,0,0,3,6,0.0,0.75,2.0,1.34
T002,S003,R001,2024-01-01,0.6,12,0,0,0,3,6,1.34,0.75,2.0,2.74
T002,S002,R001,2024-01-01,0.8,12,0,0,0,3,6,2.74,0.75,2.0,5.05
T002,S001,R001,2024-01-01,1.0,12,0,0,0,3,6,5.05,0.75,2.0,7.72
T002,S012,R001,2024-01-01,0.0,15,0,0,0,3,6,0.0,0.75,2.0,1.68
T002,S011,R001,2024-01-01,0.2,15,0,0,0,3,6,1.68,0.75,2.0,1.34
T002,S010,R001,2024-01-01,0.4,15,0,0,0,3,6,1.34,0.75,2.0,1.6
T002,S003,R001,2024-01-01,0.6,15,0,0,0,3,6,1.6,0.75,2.0,1.08
T002,S002,R001,2024-01-01,0.8,15,0,0,0,3,6,1.08,0.75,2.0,3.84
T002,S001,R001,2024-01-01,1.0,15,0,0,0,3,6,3.84,0.75,2.0,6.72
T003,S004,R002,2024-01-01,0.0,14,0,0,0,3,5,0.0,0.75,2.0,1.6
T003,S005,R002,2024-01-01,0.25,14,0,0,0,3,5,1.6,0.75,2.0,2.61
T003,S006,R002,2024-01-01,0.5,14,0,0,0,3,5,2.61,0.75,2.0,2.1
T003,S020,R002,2024-01-01,0.75,14,0,0,0,3,5,2.1,0.75,2.0,3.13
T003,S007,R002,2024-01-01,1.0,14,0,0,0,3,5,3.13,0.75,2.0,5.08
T003,S004,R002,2024-01-01,0.0,21,0,0,0,3,5,0.0,0.75,2.0,1.09
T003,S005,R002,2024-01-01,0.25,21,0,0,0,3,5,1.09,0.75,2.0,0.84
T003,S006,R002,2024-01-01,0.5,21,0,0,0,3,5,0.84,0.75,2.0,2.08
T003,S020,R002,2024-01-01,0.75,21,0,0,0,3,5,2.08,0.75,2.0,2.9
T003,S007,R002,2024-01-01,1.0,21,0,0,0,3,5,2.9,0.75,2.0,3.87
T003,S004,R002,2024-01-01,0.0,11,0,0,0,3,5,0.0,0.75,2.0,0.78
T003,S005,R002,2024-01-01,0.25,11,0,0,0,3,5,0.78,0.75,2.0,0.53
T003,S006,R002,2024-01-01,0.5,11,0,0,0,3,5,0.53,0.75,2.0,0.74
T003,S020,R002,2024-01-01,0.75,11,0,0,0,3,5,0.74,0.75,2.0,1.41
T003,S007,R002,2024-01-01,1.0,11,0,0,0,3,5,1.41,0.75,2.0,2.28
T004,S007,R002,2024-01-01,0.0,6,0,0,0,3,5,0.0,0.75,2.0,1.98
T004,S020,R002,2024-01-01,0.25,6,0,0,0,3,5,1.98,0.75,2.0,0.27
T004,S006,R002,2024-01-01,0.5,6,0,0,0,3,5,0.27,0.75,2.0,1.7
T004,S005,R002,2024-01-01,0.75,6,0,0,0,3,5,1.7,0.75,2.0,3.07
T004,S004,R002,2024-01-01,1.0,6,0,0,0,3,5,3.07,0.75,2.0,3.42
T004,S007,R002,2024-01-01,0.0,12,0,0,0,3,5,0.0,0.75,2.0,0.0
T004,S020,R002,2024-01-01,0.25,12,0,0,0,3,5,0.0,0.75,2.0,0.78
T004,S006,R002,2024-01-01,0.5,12,0,0,0,3,5,0.78,0.75,2.0,2.29
T004,S005,R002,2024-01-01,0.75,12,0,0,0,3,5,2.29,0.75,2.0,3.35
T004,S004,R002,2024-01-01,1.0,12,0,0,0,3,5,3.35,0.75,2.0,2.24
T004,S007,R002,2024-01-01,0.0,7,1,0,0,3,5,0.0,0.75,2.0,1.23
T004,S020,R002,2024-01-01,0.25,7,1,0,0,3,5,1.23,0.75,2.0,2.26
T004,S006,R002,2024-01-01,0.5,7,1,0,0,3,5,2.26,0.75,2.0,6.11
T004,S005,R002,2024-01-01,0.75,7,1,0,0,3,5,6.11,0.75,2.0,8.73
T004,S004,R002,2024-01-01,1.0,7,1,0,0,3,5,8.73,0.75,2.0,11.36
T005,S010,R003,2024-01-01,0.0,11,0,0,0,3,5,0.0,0.75,2.0,1.27
T005,S001,R003,2024-01-01,0.25,11,0,0,0,3,5,1.27,0.75,2.0,1.67
T005,S002,R003,2024-01-01,0.5,11,0,0,0,3,5,1.67,0.75,2.0,1.85
T005,S016,R003,2024-01-01,0.75,11,0,0,0,3,5,1.85,0.75,2.0,2.24
T005,S015,R003,2024-01-01,1.0,11,0,0,0,3,5,2.24,0.75,2.0,3.24
T005,S010,R003,2024-01-01,0.0,17,1,0,0,3,5,0.0,0.75,2.0,2.25
T005,S001,R003,2024-01-01,0.25,17,1,0,0,3,5,2.25,0.75,2.0,1.74
T005,S002,R003,2024-01-01,0.5,17,1,0,0,3,5,1.74,0.75,2.0,3.82
T005,S016,R003,2024-01-01,0.75,17,1,0,0,3,5,3.82,0.75,2.0,6.76
T005,S015,R003,2024-01-01,1.0,17,1,0,0,3,5,6.76,0.75,2.0,6.63
T005,S010,R003,2024-01-01,0.0,6,0,0,0,3,5,0.0,0.75,2.0,1.62
T005,S001,R003,2024-01-01,0.25,6,0,0,0,3,5,1.62,0.75,2.0,0.92
T005,S002,R003,2024-01-01,0.5,6,0,0,0,3,5,0.92,0.75,2.0,0.27
T005,S016,R003,2024-01-01,0.75,6,0,0,0,3,5,0.27,0.75,2.0,0.53
T005,S015,R003,2024-01-01,1.0,6,0,0,0,3,5,0.53,0.75,2.0,1.7
T007,S013,R004,2024-01-01,0.0,19,1,0,0,3,6,0.0,0.75,1.0,3.72
T007,S014,R004,2024-01-01,0.2,19,1,0,0,3,6,3.72,0.75,1.0,3.31
T007,S001,R004,2024-01-01,0.4,19,1,0,0,3,6,3.31,0.75,1.0,4.58
T007,S020,R004,2024-01-01,0.6,19,1,0,0,3,6,4.58,0.75,1.0,4.94
T007,S017,R004,2024-01-01,0.8,19,1,0,0,3,6,4.94,0.75,1.0,5.6
T007,S018,R004,2024-01-01,1.0,19,1,0,0,3,6,5.6,0.75,1.0,10.3
T007,S013,R004,2024-01-01,0.0,15,0,0,0,3,6,0.0,0.75,1.0,0.53
T007,S014,R004,2024-01-01,0.2,15,0,0,0,3,6,0.53,0.75,1.0,2.1
T007,S001,R004,2024-01-01,0.4,15,0,0,0,3,6,2.1,0.75,1.0,3.06
T007,S020,R004,2024-01-01,0.6,15,0,0,0,3,6,3.06,0.75,1.0,2.94
T007,S017,R004,2024-01-01,0.8,15,0,0,0,3,6,2.94,0.75,1.0,3.79
T007,S018,R004,2024-01-01,1.0,15,0,0,0,3,6,3.79,0.75,1.0,4.65
T007,S013,R004,2024-01-01,0.0,7,1,0,0,3,6,0.0,0.75,1.0,3.63
T007,S014,R004,2024-01-01,0.2,7,1,0,0,3,6,3.63,0.75,1.0,3.87
T007,S001,R004,2024-01-01,0.4,7,1,0,0,3,6,3.87,0.75,1.0,4.03
T007,S020,R004,2024-01-01,0.6,7,1,0,0,3,6,4.03,0.75,1.0,5.65
T007,S017,R004,2024-01-01,0.8,7,1,0,0,3,6,5.65,0.75,1.0,7.42
T007,S018,R004,2024-01-01,1.0,7,1,0,0,3,6,7.42,0.75,1.0,6.16
T008,S011,R005,2024-01-01,0.0,16,0,0,0,3,6,0.0,0.75,1.0,1.79
T008,S010,R005,2024-01-01,0.2,16,0,0,0,3,6,1.79,0.75,1.0,2.23
T008,S009,R005,2024-01-01,0.4,16,0,0,0,3,6,2.23,0.75,1.0,2.82
T008,S008,R005,2024-01-01,0.6,16,0,0,0,3,6,2.82,0.75,1.0,2.24
T008,S019,R005,2024-01-01,0.8,16,0,0,0,3,6,2.24,0.75,1.0,4.39
T008,S017,R005,2024-01-01,1.0,16,0,0,0,3,6,4.39,0.75,1.0,6.9
T008,S011,R005,2024-01-01,0.0,22,0,0,0,3,6,0.0,0.75,1.0,2.23
T008,S010,R005,2024-01-01,0.2,22,0,0,0,3,6,2.23,0.75,1.0,2.91
T008,S009,R005,2024-01-01,0.4,22,0,0,0,3,6,2.91,0.75,1.0,2.93
T008,S008,R005,2024-01-01,0.6,22,0,0,0,3,6,2.93,0.75,1.0,1.96
T008,S019,R005,2024-01-01,0.8,22,0,0,0,3,6,1.96,0.75,1.0,4.72
T008,S017,R005,2024-01-01,1.0,22,0,0,0,3,6,4.72,0.75,1.0,7.43
T008,S011,R005,2024-01-01,0.0,9,1,0,0,3,6,0.0,0.75,1.0,4.19
T008,S010,R005,2024-01-01,0.2,9,1,0,0,3,6,4.19,0.75,1.0,3.86
T008,S009,R005,2024-01-01,0.4,9,1,0,0,3,6,3.86,0.75,1.0,2.88
T008,S008,R005,2024-01-01,0.6,9,1,0,0,3,6,2.88,0.75,1.0,3.69
T008,S019,R005,2024-01-01,0.8,9,1,0,0,3,6,3.69,0.75,1.0,6.36
T008,S017,R005,2024-01-01,1.0,9,1,0,0,3,6,6.36,0.75,1.0,9.8
T009,S021,R006,2024-01-01,0.0,13,0,0,0,1,3,0.0,0.75,1.0,0.48
T009,S022,R006,2024-01-01,0.5,13,0,0,0,1,3,0.48,0.75,1.0,0.67
T009,S023,R006,2024-01-01,1.0,13,0,0,0,1,3,0.67,0.75,1.0,1.34
T009,S021,R006,2024-01-01,0.0,6,0,0,0,1,3,0.0,0.75,1.0,0.68
T009,S022,R006,2024-01-01,0.5,6,0,0,0,1,3,0.68,0.75,1.0,0.6
T009,S023,R006,2024-01-01,1.0,6,0,0,0,1,3,0.6,0.75,1.0,0.85
T009,S021,R006,2024-01-01,0.0,8,1,0,0,1,3,0.0,0.75,1.0,0.2
T009,S022,R006,2024-01-01,0.5,8,1,0,0,1,3,0.2,0.75,1.0,1.5
T009,S023,R006,2024-01-01,1.0,8,1,0,0,1,3,1.5,0.75,1.0,2.08
T001,S001,R001,2024-01-02,0.0,15,0,0,1,3,6,0.0,0.0,2.0,1.09
T001,S002,R001,2024-01-02,0.2,15,0,0,1,3,6,1.09,0.0,2.0,1.26
T001,S003,R001,2024-01-02,0.4,15,0,0,1,3,6,1.26,0.0,2.0,1.3
T001,S010,R001,2024-01-02,0.6,15,0,0,1,3,6,1.3,0.0,2.0,2.61
T001,S011,R001,2024-01-02,0.8,15,0,0,1,3,6,2.61,0.0,2.0,4.91
T001,S012,R001,2024-01-02,1.0,15,0,0,1,3,6,4.91,0.0,2.0,4.69
T001,S001,R001,2024-01-02,0.0,17,1,0,1,3,6,0.0,0.0,2.0,4.4
T001,S002,R001,2024-01-02,0.2,17,1,0,1,3,6,4.4,0.0,2.0,3.86
T001,S003,R001,2024-01-02,0.4,17,1,0,1,3,6,3.86,0.0,2.0,6.89
T001,S010,R001,2024-01-02,0.6,17,1,0,1,3,6,6.89,0.0,2.0,7.75
T001,S011,R001,2024-01-02,0.8,17,1,0,1,3,6,7.75,0.0,2.0,11.39
T001,S012,R001,2024-01-02,1.0,17,1,0,1,3,6,11.39,0.0,2.0,15.57
T001,S001,R001,2024-01-02,0.0,14,0,0,1,3,6,0.0,0.0,2.0,1.6
T001,S002,R001,2024-01-02,0.2,14,0,0,1,3,6,1.6,0.0,2.0,1.02
T001,S003,R001,2024-01-02,0.4,14,0,0,1,3,6,1.02,0.0,2.0,1.99
T001,S010,R001,2024-01-02,0.6,14,0,0,1,3,6,1.99,0.0,2.0,4.24
T001,S011,R001,2024-01-02,0.8,14,0,0,1,3,6,4.24,0.0,2.0,3.5
T001,S012,R001,2024-01-02,1.0,14,0,0,1,3,6,3.5,0.0,2.0,2.87
T002,S012,R001,2024-01-02,0.0,8,1,0,1,3,6,0.0,0.0,2.0,2.79
T002,S011,R001,2024-01-02,0.2,8,1,0,1,3,6,2.79,0.0,2.0,2.3
T002,S010,R001,2024-01-02,0.4,8,1,0,1,3,6,2.3,0.0,2.0,3.36
T002,S003,R001,2024-01-02,0.6,8,1,0,1,3,6,3.36,0.0,2.0,4.85
T002,S002,R001,2024-01-02,0.8,8,1,0,1,3,6,4.85,0.0,2.0,8.09
T002,S001,R001,2024-01-02,1.0,8,1,0,1,3,6,8.09,0.0,2.0,7.25
T002,S012,R001,2024-01-02,0.0,19,1,0,1,3,6,0.0,0.0,2.0,1.12
T002,S011,R001,2024-01-02,0.2,19,1,0,1,3,6,1.12,0.0,2.0,1.73
T002,S010,R001,2024-01-02,0.4,19,1,0,1,3,6,1.73,0.0,2.0,2.79
T002,S003,R001,2024-01-02,0.6,19,1,0,1,3,6,2.79,0.0,2.0,4.88
T002,S002,R001,2024-01-02,0.8,19,1,0,1,3,6,4.88,0.0,2.0,8.45
T002,S001,R001,2024-01-02,1.0,19,1,0,1,3,6,8.45,0.0,2.0,7.7
T002,S012,R001,2024-01-02,0.0,9,1,0,1,3,6,0.0,0.0,2.0,2.76
T002,S011,R001,2024-01-02,0.2,9,1,0,1,3,6,2.76,0.0,2.0,4.16
T002,S010,R001,2024-01-02,0.4,9,1,0,1,3,6,4.16,0.0,2.0,5.72
T002,S003,R001,2024-01-02,0.6,9,1,0,1,3,6,5.72,0.0,2.0,4.46
T002,S002,R001,2024-01-02,0.8,9,1,0,1,3,6,4.46,0.0,2.0,9.17
T002,S001,R001,2024-01-02,1.0,9,1,0,1,3,6,9.17,0.0,2.0,11.83
T003,S004,R002,2024-01-02,0.0,12,0,0,1,3,5,0.0,0.0,2.0,1.79
T003,S005,R002,2024-01-02,0.25,12,0,0,1,3,5,1.79,0.0,2.0,1.9
T003,S006,R002,2024-01-02,0.5,12,0,0,1,3,5,1.9,0.0,2.0,1.18
T003,S020,R002,2024-01-02,0.75,12,0,0,1,3,5,1.18,0.0,2.0,2.86
T003,S007,R002,2024-01-02,1.0,12,0,0,1,3,5,2.86,0.0,2.0,2.33
T003,S004,R002,2024-01-02,0.0,20,1,0,1,3,5,0.0,0.0,2.0,1.31
T003,S005,R002,2024-01-02,0.25,20,1,0,1,3,5,1.31,0.0,2.0,0.5
T003,S006,R002,2024-01-02,0.5,20,1,0,1,3,5,0.5,0.0,2.0,1.63
T003,S020,R002,2024-01-02,0.75,20,1,0,1,3,5,1.63,0.0,2.0,0.51
T003,S007,R002,2024-01-02,1.0,20,1,0,1,3,5,0.51,0.0,2.0,2.06
T003,S004,R002,2024-01-02,0.0,12,0,0,1,3,5,0.0,0.0,2.0,1.67
T003,S005,R002,2024-01-02,0.25,12,0,0,1,3,5,1.67,0.0,2.0,1.45
T003,S006,R002,2024-01-02,0.5,12,0,0,1,3,5,1.45,0.0,2.0,1.31
T003,S020,R002,2024-01-02,0.75,12,0,0,1,3,5,1.31,0.0,2.0,2.5
