trip_id,arrival_time,departure_time,stop_id,stop_sequence
T001,08:00:00,08:00:00,S001,1
T001,08:06:00,08:06:00,S002,2
T001,08:13:00,08:13:00,S003,3
T001,08:18:00,08:18:00,S010,4
T001,08:26:00,08:26:00,S011,5
T001,08:35:00,08:35:00,S012,6
T002,09:00:00,09:00:00,S012,1
T002,09:09:00,09:09:00,S011,2
T002,09:17:00,09:17:00,S010,3
T002,09:24:00,09:24:00,S003,4
T002,09:30:00,09:30:00,S002,5
T002,09:36:00,09:36:00,S001,6
T003,08:00:00,08:00:00,S004,1
T003,08:07:00,08:07:00,S005,2
T003,08:14:00,08:14:00,S006,3
T003,08:20:00,08:20:00,S020,4
T003,08:27:00,08:27:00,S007,5
T004,09:00:00,09:00:00,S007,1
T004,09:07:00,09:07:00,S020,2
T004,09:13:00,09:13:00,S006,3
T004,09:20:00,09:20:00,S005,4
T004,09:27:00,09:27:00,S004,5
T005,08:00:00,08:00:00,S010,1
T005,08:12:00,08:12:00,S001,2
T005,08:19:00,08:19:00,S002,3
T005,08:26:00,08:26:00,S016,4
T005,08:40:00,08:40:00,S015,5
T007,08:00:00,08:00:00,S013,1
T007,08:08:00,08:08:00,S014,2
T007,08:20:00,08:20:00,S001,3
T007,08:33:00,08:33:00,S020,4
T007,08:45:00,08:45:00,S017,5
T007,09:00:00,09:00:00,S018,6
T008,08:00:00,08:00:00,S011,1
T008,08:10:00,08:10:00,S010,2
T008,08:18:00,08:18:00,S009,3
T008,08:26:00,08:26:00,S008,4
T008,08:35:00,08:35:00,S019,5
T008,08:47:00,08:47:00,S017,6
